Model_file,Sequence,Node-Clade,Model_cofactor,Pocket_volume
AncA-1_B001_Mo.pdb,AncA-1,AncA,Mo,1049.125
AncA-1_B002_Mo.pdb,AncA-1,AncA,Mo,1161.375
AncA-1_B003_Mo.pdb,AncA-1,AncA,Mo,919.375
AncA-1_B004_Mo.pdb,AncA-1,AncA,Mo,1095.75
AncA-1_B005_Mo.pdb,AncA-1,AncA,Mo,1051
AncA-1_B006_Mo.pdb,AncA-1,AncA,Mo,1088.375
AncA-1_B007_Mo.pdb,AncA-1,AncA,Mo,1008.125
AncA-1_B008_Mo.pdb,AncA-1,AncA,Mo,1023.25
AncA-1_B009_Mo.pdb,AncA-1,AncA,Mo,1017
AncA-1_B010_Mo.pdb,AncA-1,AncA,Mo,1058.25
AncA-1_B011_Mo.pdb,AncA-1,AncA,Mo,1113.5
AncA-1_B012_Mo.pdb,AncA-1,AncA,Mo,1080.375
AncA-1_B013_Mo.pdb,AncA-1,AncA,Mo,1079.5
AncA-1_B014_Mo.pdb,AncA-1,AncA,Mo,1113.625
AncA-1_B015_Mo.pdb,AncA-1,AncA,Mo,1092
AncA-1_B016_Mo.pdb,AncA-1,AncA,Mo,1127
AncA-1_B018_Mo.pdb,AncA-1,AncA,Mo,1094.125
AncA-1_B019_Mo.pdb,AncA-1,AncA,Mo,1124.25
AncA-1_B020_Mo.pdb,AncA-1,AncA,Mo,1057.25
AncA-1_B021_Mo.pdb,AncA-1,AncA,Mo,1031.875
AncA-1_B022_Mo.pdb,AncA-1,AncA,Mo,1038.875
AncA-1_B023_Mo.pdb,AncA-1,AncA,Mo,1135.125
AncA-1_B024_Mo.pdb,AncA-1,AncA,Mo,1166.25
AncA-1_B026_Mo.pdb,AncA-1,AncA,Mo,1096.625
AncA-1_B027_Mo.pdb,AncA-1,AncA,Mo,1087.875
AncA-1_B028_Mo.pdb,AncA-1,AncA,Mo,1111.375
AncA-1_B029_Mo.pdb,AncA-1,AncA,Mo,1079.625
AncA-1_B030_Mo.pdb,AncA-1,AncA,Mo,959.75
AncA-1_B031_Mo.pdb,AncA-1,AncA,Mo,1096
AncA-1_B032_Mo.pdb,AncA-1,AncA,Mo,1046.625
AncA-1_B033_Mo.pdb,AncA-1,AncA,Mo,1103.25
AncA-1_B034_Mo.pdb,AncA-1,AncA,Mo,1130.875
AncA-1_B035_Mo.pdb,AncA-1,AncA,Mo,1064.5
AncA-1_B036_Mo.pdb,AncA-1,AncA,Mo,1051.375
AncA-1_B037_Mo.pdb,AncA-1,AncA,Mo,1117.25
AncA-1_B038_Mo.pdb,AncA-1,AncA,Mo,1092.125
AncA-1_B039_Mo.pdb,AncA-1,AncA,Mo,1122.375
AncA-1_B040_Mo.pdb,AncA-1,AncA,Mo,1010.25
AncA-1_B041_Mo.pdb,AncA-1,AncA,Mo,981.75
AncA-1_B042_Mo.pdb,AncA-1,AncA,Mo,1132.25
AncA-1_B043_Mo.pdb,AncA-1,AncA,Mo,1142.625
AncA-1_B044_Mo.pdb,AncA-1,AncA,Mo,1076.75
AncA-1_B045_Mo.pdb,AncA-1,AncA,Mo,1129.375
AncA-1_B046_Mo.pdb,AncA-1,AncA,Mo,1073.625
AncA-1_B047_Mo.pdb,AncA-1,AncA,Mo,1143.125
AncA-1_B048_Mo.pdb,AncA-1,AncA,Mo,1097.875
AncA-1_B049_Mo.pdb,AncA-1,AncA,Mo,1053.625
AncA-1_B050_Mo.pdb,AncA-1,AncA,Mo,1014.25
AncA-1_B051_Mo.pdb,AncA-1,AncA,Mo,1041.625
AncA-1_B052_Mo.pdb,AncA-1,AncA,Mo,1032.25
AncA-1_B053_Mo.pdb,AncA-1,AncA,Mo,1074
AncA-1_B054_Mo.pdb,AncA-1,AncA,Mo,1091.125
AncA-1_B055_Mo.pdb,AncA-1,AncA,Mo,1081.625
AncA-1_B056_Mo.pdb,AncA-1,AncA,Mo,1049.75
AncA-1_B057_Mo.pdb,AncA-1,AncA,Mo,1041
AncA-1_B058_Mo.pdb,AncA-1,AncA,Mo,1071.75
AncA-1_B059_Mo.pdb,AncA-1,AncA,Mo,1088
AncA-1_B060_Mo.pdb,AncA-1,AncA,Mo,1024.875
AncA-1_B061_Mo.pdb,AncA-1,AncA,Mo,1019.125
AncA-1_B062_Mo.pdb,AncA-1,AncA,Mo,933.625
AncA-1_B063_Mo.pdb,AncA-1,AncA,Mo,1067.5
AncA-1_B064_Mo.pdb,AncA-1,AncA,Mo,1111.5
AncA-1_B065_Mo.pdb,AncA-1,AncA,Mo,1122.5
AncA-1_B066_Mo.pdb,AncA-1,AncA,Mo,1071.375
AncA-1_B067_Mo.pdb,AncA-1,AncA,Mo,1048.125
AncA-1_B068_Mo.pdb,AncA-1,AncA,Mo,1081.375
AncA-1_B069_Mo.pdb,AncA-1,AncA,Mo,1079.5
AncA-1_B070_Mo.pdb,AncA-1,AncA,Mo,1106.25
AncA-1_B071_Mo.pdb,AncA-1,AncA,Mo,978.375
AncA-1_B072_Mo.pdb,AncA-1,AncA,Mo,1109
AncA-1_B073_Mo.pdb,AncA-1,AncA,Mo,1071.125
AncA-1_B074_Mo.pdb,AncA-1,AncA,Mo,1058.25
AncA-1_B075_Mo.pdb,AncA-1,AncA,Mo,1037
AncA-1_B076_Mo.pdb,AncA-1,AncA,Mo,1144.125
AncA-1_B077_Mo.pdb,AncA-1,AncA,Mo,1156.375
AncA-1_B078_Mo.pdb,AncA-1,AncA,Mo,1085
AncA-1_B079_Mo.pdb,AncA-1,AncA,Mo,1007.5
AncA-1_B080_Mo.pdb,AncA-1,AncA,Mo,938.5
AncA-1_B081_Mo.pdb,AncA-1,AncA,Mo,1062.25
AncA-1_B082_Mo.pdb,AncA-1,AncA,Mo,1064.75
AncA-1_B083_Mo.pdb,AncA-1,AncA,Mo,1126.5
AncA-1_B084_Mo.pdb,AncA-1,AncA,Mo,1129.875
AncA-1_B085_Mo.pdb,AncA-1,AncA,Mo,1016.375
AncA-1_B086_Mo.pdb,AncA-1,AncA,Mo,1008.25
AncA-1_B087_Mo.pdb,AncA-1,AncA,Mo,1080.5
AncA-1_B088_Mo.pdb,AncA-1,AncA,Mo,1079.125
AncA-1_B089_Mo.pdb,AncA-1,AncA,Mo,1058.625
AncA-1_B090_Mo.pdb,AncA-1,AncA,Mo,1061
AncA-1_B091_Mo.pdb,AncA-1,AncA,Mo,1065.75
AncA-1_B092_Mo.pdb,AncA-1,AncA,Mo,1020.875
AncA-1_B093_Mo.pdb,AncA-1,AncA,Mo,997.5
AncA-1_B094_Mo.pdb,AncA-1,AncA,Mo,988
AncA-1_B095_Mo.pdb,AncA-1,AncA,Mo,1112.25
AncA-1_B096_Mo.pdb,AncA-1,AncA,Mo,1024.375
AncA-1_B097_Mo.pdb,AncA-1,AncA,Mo,1092.5
AncA-1_B098_Mo.pdb,AncA-1,AncA,Mo,1109.625
AncA-1_B099_Mo.pdb,AncA-1,AncA,Mo,1015.25
AncA-1_B100_Mo.pdb,AncA-1,AncA,Mo,1139.375
AncA-1_NifD.B99990014.pdb,AncA-1,AncA,Mo,1025.875
AncA-1_NifD.B99990023.pdb,AncA-1,AncA,Mo,1082.125
AncA-1_NifD.B99990049.pdb,AncA-1,AncA,Mo,1029.625
AncA-1_NifD.B99990051.pdb,AncA-1,AncA,Mo,972.625
AncA-1_NifD.B99990057.pdb,AncA-1,AncA,Mo,957.875
AncA-1_NifD.B99990061.pdb,AncA-1,AncA,Mo,1043.75
AncA-1_NifD.B99990066.pdb,AncA-1,AncA,Mo,1045.75
AncA-1_NifD.B99990077.pdb,AncA-1,AncA,Mo,1124.75
AncA-1_NifD.B99990087.pdb,AncA-1,AncA,Mo,1126.25
AncA-1_NifD.B99990099.pdb,AncA-1,AncA,Mo,1056.75
